,iteration,id,production,consumption,stored_kwh,wallet,trades_from,amount_from_city,amount_to_city,central_battery_tax
4,28,cs1,17.316,43.1263,0.0,-16.7091,ap1:15.8028-ap3:8.869-ap4:7.5287,0.0,6.39,0.0
5,28,cs2,17.316,41.5401,0.0,-16.6942,ap1:14.8174-ap3:7.8836-ap4:8.0517,0.0,6.5285,0.0
6,28,cs3,17.316,42.7222,0.0,-16.7123,ap1:15.7833-ap3:8.8495-ap4:7.2305,0.0,6.457,0.0
0,29,ap1,84.2433,36.8946,0.1133,108.7461,ap2:0.0003-ap3:0.0003-ap4:0.0003-cs1:0.0003-cs2:0.0003-cs3:0.0003,8.7834,0.0,0.0011
1,29,ap2,17.316,37.721,0.0,-27.9855,ap1:7.3913-ap3:12.0294-ap4:10.481-cs1:0.0-cs2:0.0-cs3:0.0,0.0,9.496,0.0
2,29,ap3,72.9928,38.2406,0.0,109.0415,,8.1248,0.0,0.0
3,29,ap4,70.3159,37.8272,0.0,89.1483,,6.8606,0.0,0.0
4,29,cs1,17.316,43.4879,0.0,-32.8165,ap1:19.5404-ap2:0.0-ap3:9.1821-ap4:9.6392-cs2:0.0-cs3:0.0,0.0,12.1891,0.0
5,29,cs2,17.316,42.3575,0.0,-31.1442,ap1:17.2753-ap2:0.0-ap3:10.0622-ap4:9.1741-cs1:0.0-cs3:0.0,0.0,11.4695,0.0
6,29,cs3,17.316,39.7747,0.0,-32.3576,ap1:11.9597-ap2:0.0-ap3:11.6017-ap4:10.0533-cs1:0.0-cs2:0.0,0.0,11.1553,0.0
0,30,ap1,85.7325,37.7155,0.0776,0.0003,,4.6787,0.0,0.0008
1,30,ap2,17.316,38.1217,0.0,-10.9932,ap1:10.345-ap3:8.9893-ap4:8.6516,0.0,7.1814,0.0
2,30,ap3,73.3636,38.4953,0.0,-0.0004,,3.3961,0.0,0.0
